"Falcones, Kenneth",Fractal Geometry,2014
"Yonaydo, Gabuyo",Analytic Geometry,2013
"Dela Cruz, Perla",Analytic Geometry,2013
"Bass, Laurie E. et al",Geometry,2005
Dela Fuente et.al.,Plane & solid analytical geometry made easy,2003
"De La Fuente, Ruben A. et al",Plane and Solid Analytic Geometry - Made Easy Sl edition,2003
Aguaviva-Yap,Analytic Geometry,1997
"Aquaviva, Dr. Erlinda M. et al",Analytic Geometry,1997
Fuller-Tarwater,Analytic Geometry 7th sedition,1992
"Britzer, Robert",Algebra and Trigonometry 2nd Ed.,2004
"Leithold, Louis",College Algebra and Trigonometry,2002
"Cariï¿½o, Isidro D. et al",9th Edition trigonometry,2006
"Lial, Margaret.,et. Al",8th Edition trigonometry,2002
"Waner, Stefan, et.al",Finite mathematics Applied Calculus,2014
"Spiegel, Murray R., et.al",Mathematical Handbook of Formulas & Tables,2013
